,algorithm,dimension,iterations,time
288,jacobi,5,26,0.0013009999999979982
289,jacobi,5,31,0.0015219999999942502
290,jacobi,5,32,0.0018699999999967076
291,jacobi,5,32,0.0015679999999989036
292,jacobi,5,29,0.0014180000000010295
293,jacobi,5,28,0.0013920000000027244
294,jacobi,5,28,0.001379000000000019
295,jacobi,5,31,0.001525999999998362
296,jacobi,5,26,0.0013009999999979982
297,jacobi,5,29,0.0014419999999972788
298,jacobi,5,29,0.001421999999998036
299,jacobi,5,31,0.0015160000000022933
300,jacobi,6,47,0.002631000000000938
301,jacobi,6,43,0.002879000000000076
302,jacobi,6,49,0.002562000000004616
303,jacobi,6,48,0.0023059999999972547
304,jacobi,6,47,0.002341999999998734
305,jacobi,6,44,0.0021040000000027703
306,jacobi,6,44,0.002096000000001652
307,jacobi,6,46,0.002197000000002447
308,jacobi,6,45,0.0021520000000023742
309,jacobi,6,43,0.002068000000001291
310,jacobi,6,46,0.0025070000000013692
311,jacobi,6,44,0.0020799999999994156
312,jacobi,6,43,0.0020510000000015793
313,jacobi,6,46,0.002197000000002447
314,jacobi,6,47,0.002240000000000464
315,jacobi,6,45,0.0021660000000025548
316,jacobi,6,47,0.0022110000000026275
317,jacobi,6,47,0.0022130000000046834
318,jacobi,6,45,0.0021050000000002456
319,jacobi,6,45,0.0021370000000047185
320,jacobi,6,42,0.0021270000000015443
321,jacobi,6,42,0.0020039999999994507
322,jacobi,6,47,0.0022120000000001028
323,jacobi,6,44,0.0020919999999975403
324,jacobi,6,46,0.002171000000004142
325,jacobi,6,44,0.002088000000000534
326,jacobi,6,44,0.0021150000000034197
327,jacobi,6,46,0.002184999999997217
328,jacobi,6,48,0.0022650000000012938
329,jacobi,6,41,0.0020489999999995234
330,jacobi,6,44,0.002422000000002811
331,jacobi,6,46,0.0021880000000038535
332,jacobi,6,42,0.001999999999995339
333,jacobi,6,43,0.0020519999999990546
334,jacobi,6,46,0.0021680000000046107
335,jacobi,6,45,0.0021500000000003183
336,jacobi,6,47,0.0022050000000035652
337,jacobi,6,46,0.002253000000003169
338,jacobi,6,47,0.006013000000002933
339,jacobi,6,43,0.002082999999998947
340,jacobi,6,42,0.002405000000003099
341,jacobi,6,46,0.002207999999995991
342,jacobi,6,43,0.0020769999999998845
343,jacobi,6,44,0.00429499999999905
344,jacobi,6,42,0.0025070000000013692
345,jacobi,6,41,0.0025159999999999627
346,jacobi,6,47,0.0033820000000019945
347,jacobi,6,45,0.0021979999999999222
348,jacobi,6,42,0.001996000000005438
349,jacobi,6,47,0.002375000000000682
350,jacobi,6,46,0.0022970000000057667
351,jacobi,6,48,0.002283000000005586
352,jacobi,6,44,0.002119000000000426
353,jacobi,6,45,0.002138999999999669
354,jacobi,6,47,0.002227999999995234
355,jacobi,6,46,0.002184999999997217
356,jacobi,6,44,0.0020940000000067016
357,jacobi,6,44,0.0021100000000018326
358,jacobi,6,45,0.002119000000000426
359,jacobi,6,44,0.0021050000000002456
360,jacobi,6,46,0.002527000000000612
361,jacobi,6,44,0.0020870000000030586
362,jacobi,6,44,0.002068000000001291
363,jacobi,6,48,0.0022499999999965326
364,jacobi,6,45,0.0021249999999994884
365,jacobi,6,46,0.002172000000001617
366,jacobi,6,46,0.0021430000000037808
367,jacobi,6,44,0.0021120000000038885
368,jacobi,6,45,0.0021300000000010755
369,jacobi,6,41,0.0019579999999947972
370,jacobi,6,46,0.002304000000002304
371,jacobi,6,49,0.0023239999999944416
372,jacobi,6,47,0.002214999999999634
373,jacobi,6,48,0.002271000000000356
374,jacobi,6,48,0.002517999999994913
375,jacobi,6,45,0.00216700000000003
376,jacobi,6,45,0.0021660000000025548
377,jacobi,6,42,0.0024289999999993483
378,jacobi,6,43,0.002093000000002121
379,jacobi,6,45,0.0031619999999961124
380,jacobi,6,47,0.002326000000003603
381,jacobi,6,47,0.002225000000002808
382,jacobi,6,42,0.0021050000000002456
383,jacobi,6,44,0.0021079999999997767
384,jacobi,6,43,0.0020319999999998117
385,jacobi,6,48,0.0022670000000033497
386,jacobi,6,46,0.0021660000000025548
387,jacobi,6,44,0.002086999999995953
388,jacobi,6,45,0.0023049999999997794
389,jacobi,6,42,0.0020399999999938245
390,jacobi,6,48,0.002392000000000394
391,jacobi,6,45,0.0021660000000025548
392,jacobi,6,45,0.0021390000000067744
393,jacobi,6,44,0.0021419999999992
394,jacobi,6,42,0.002037000000001399
395,jacobi,6,40,0.0019419999999996662
396,jacobi,6,47,0.002222000000003277
397,jacobi,6,42,0.002020000000001687
398,jacobi,6,40,0.0023079999999993106
399,jacobi,6,44,0.0022110000000026275
400,jacobi,7,66,0.005150000000000432
401,jacobi,7,63,0.0029919999999989955
402,jacobi,7,60,0.0028809999999950264
403,jacobi,7,69,0.0034009999999966567
404,jacobi,7,61,0.0029079999999979123
405,jacobi,7,59,0.0027949999999989927
406,jacobi,7,64,0.003018000000004406
407,jacobi,7,66,0.003119000000005201
408,jacobi,7,67,0.0032229999999984216
409,jacobi,7,63,0.0029949999999985266
410,jacobi,7,61,0.0029770000000013397
411,jacobi,7,60,0.002845999999998128
412,jacobi,7,64,0.003002999999999645
413,jacobi,7,64,0.003000999999997589
414,jacobi,7,67,0.003106999999999971
415,jacobi,7,63,0.0029460000000014475
416,jacobi,7,60,0.0028190000000023474
417,jacobi,7,62,0.0029530000000050904
418,jacobi,7,64,0.00857899999999745
419,jacobi,7,66,0.0030929999999997904
420,jacobi,7,65,0.0031760000000033983
421,jacobi,7,63,0.0030140000000002942
422,jacobi,7,63,0.0029719999999997526
423,jacobi,7,62,0.0029180000000010864
424,jacobi,7,60,0.0028390000000015903
425,jacobi,7,69,0.0032399999999981333
426,jacobi,7,60,0.0030389999999940187
427,jacobi,7,67,0.0031469999999984566
428,jacobi,7,67,0.0031439999999989254
429,jacobi,7,63,0.0029639999999986344
430,jacobi,7,65,0.00318099999999788
431,jacobi,7,59,0.0029380000000003292
432,jacobi,7,64,0.003044000000002711
433,jacobi,7,67,0.005336999999997261
434,jacobi,7,63,0.0029539999999954603
435,jacobi,7,62,0.003841999999998791
436,jacobi,7,65,0.005617000000000871
437,jacobi,7,61,0.0032199999999988904
438,jacobi,7,68,0.0035319999999998686
439,jacobi,7,66,0.004241999999997859
440,jacobi,7,58,0.0028730000000010136
441,jacobi,7,67,0.0032730000000000814
442,jacobi,7,65,0.0030329999999949564
443,jacobi,7,64,0.0030119999999982383
444,jacobi,7,61,0.002874999999995964
445,jacobi,7,63,0.0029589999999970473
446,jacobi,7,59,0.0027740000000022746
447,jacobi,7,61,0.0028649999999998954
448,jacobi,7,58,0.0027119999999953848
449,jacobi,7,63,0.0029719999999997526
450,jacobi,7,65,0.003160000000001162
451,jacobi,7,65,0.0030429999999981305
452,jacobi,7,57,0.0026599999999987745
453,jacobi,7,68,0.0031640000000052737
454,jacobi,7,67,0.003115000000001089
455,jacobi,7,59,0.0027710000000027435
456,jacobi,7,63,0.0029369999999957486
457,jacobi,7,63,0.0029609999999991032
458,jacobi,7,61,0.0028700000000014825
459,jacobi,7,63,0.0029409999999998604
460,jacobi,7,64,0.0031159999999985644
461,jacobi,7,68,0.003182999999999936
462,jacobi,7,68,0.003165000000002749
463,jacobi,7,62,0.0029210000000006175
464,jacobi,7,65,0.0030399999999985994
465,jacobi,7,66,0.0030919999999952097
466,jacobi,7,66,0.003038000000003649
467,jacobi,7,62,0.0029309999999966863
468,jacobi,7,62,0.003446000000003835
